Dashboard   Period GeoCode                                            GeoName                                            VariableType                                       VariableA                                          VariableB                                          Value                   
          1 2018   NULL                                               NULL                                               AgeSex                                             45                                                 2                                                                     536.0
          1 2018   NULL                                               NULL                                               AgeSex                                             46                                                 1                                                                     976.0
          1 2018   NULL                                               NULL                                               AgeSex                                             46                                                 2                                                                     623.0
          1 2018   NULL                                               NULL                                               AgeSex                                             47                                                 1                                                                    1045.0
          1 2018   NULL                                               NULL                                               AgeSex                                             47                                                 2                                                                     699.0
          1 2018   NULL                                               NULL                                               AgeSex                                             48                                                 1                                                                    1096.0
          1 2018   NULL                                               NULL                                               AgeSex                                             48                                                 2                                                                     782.0
          1 2018   NULL                                               NULL                                               AgeSex                                             49                                                 1                                                                    1252.0
          1 2018   NULL                                               NULL                                               AgeSex                                             49                                                 2                                                                     814.0
          1 2018   NULL                                               NULL                                               AgeSex                                             5                                                  1                                                                      31.0
          1 2018   NULL                                               NULL                                               AgeSex                                             5                                                  2                                                                      37.0
          1 2018   NULL                                               NULL                                               AgeSex                                             50                                                 1                                                                    1321.0
          1 2018   NULL                                               NULL                                               AgeSex                                             50                                                 2                                                                     849.0
          1 2018   NULL                                               NULL                                               AgeSex                                             51                                                 1                                                                    1458.0
          1 2018   NULL                                               NULL                                               AgeSex                                             51                                                 2                                                                     952.0
          1 2018   NULL                                               NULL                                               AgeSex                                             52                                                 1                                                                    1586.0
          1 2018   NULL                                               NULL                                               AgeSex                                             52                                                 2                                                                    1020.0
          1 2018   NULL                                               NULL                                               AgeSex                                             53                                                 1                                                                    1720.0
          1 2018   NULL                                               NULL                                               AgeSex                                             53                                                 2                                                                    1130.0
          1 2018   NULL                                               NULL                                               AgeSex                                             54                                                 1                                                                    1785.0
          1 2018   NULL                                               NULL                                               AgeSex                                             54                                                 2                                                                    1143.0
          1 2018   NULL                                               NULL                                               AgeSex                                             55                                                 1                                                                    1909.0
          1 2018   NULL                                               NULL                                               AgeSex                                             55                                                 2                                                                    1291.0
          1 2018   NULL                                               NULL                                               AgeSex                                             56                                                 1                                                                    1995.0
          1 2018   NULL                                               NULL                                               AgeSex                                             56                                                 2                                                                    1390.0
          1 2018   NULL                                               NULL                                               AgeSex                                             57                                                 1                                                                    2213.0
          1 2018   NULL                                               NULL                                               AgeSex                                             57                                                 2                                                                    1498.0
          1 2018   NULL                                               NULL                                               AgeSex                                             58                                                 1                                                                    2306.0
          1 2018   NULL                                               NULL                                               AgeSex                                             58                                                 2                                                                    1602.0
          1 2018   NULL                                               NULL                                               AgeSex                                             59                                                 1                                                                    2332.0
          1 2018   NULL                                               NULL                                               AgeSex                                             59                                                 2                                                                    1644.0
          1 2018   NULL                                               NULL                                               AgeSex                                             6                                                  1                                                                      33.0
          1 2018   NULL                                               NULL                                               AgeSex                                             6                                                  2                                                                      25.0
          1 2018   NULL                                               NULL                                               AgeSex                                             60                                                 1                                                                    2518.0
          1 2018   NULL                                               NULL                                               AgeSex                                             60                                                 2                                                                    1765.0
          1 2018   NULL                                               NULL                                               AgeSex                                             61                                                 1                                                                    2710.0
          1 2018   NULL                                               NULL                                               AgeSex                                             61                                                 2                                                                    1831.0
          1 2018   NULL                                               NULL                                               AgeSex                                             62                                                 1                                                                    2838.0
          1 2018   NULL                                               NULL                                               AgeSex                                             62                                                 2                                                                    1997.0
          1 2018   NULL                                               NULL                                               AgeSex                                             63                                                 1                                                                    3092.0
          1 2018   NULL                                               NULL                                               AgeSex                                             63                                                 2                                                                    2104.0
          1 2018   NULL                                               NULL                                               AgeSex                                             64                                                 1                                                                    3197.0
          1 2018   NULL                                               NULL                                               AgeSex                                             64                                                 2                                                                    2253.0
          1 2018   NULL                                               NULL                                               AgeSex                                             65                                                 1                                                                    3532.0
          1 2018   NULL                                               NULL                                               AgeSex                                             65                                                 2                                                                    2506.0
          1 2018   NULL                                               NULL                                               AgeSex                                             66                                                 1                                                                    3800.0
          1 2018   NULL                                               NULL                                               AgeSex                                             66                                                 2                                                                    2595.0
          1 2018   NULL                                               NULL                                               AgeSex                                             67                                                 1                                                                    4064.0
          1 2018   NULL                                               NULL                                               AgeSex                                             67                                                 2                                                                    2771.0
          1 2018   NULL                                               NULL                                               AgeSex                                             68                                                 1                                                                    4609.0
          1 2018   NULL                                               NULL                                               AgeSex                                             68                                                 2                                                                    3231.0
          1 2018   NULL                                               NULL                                               AgeSex                                             69                                                 1                                                                    5227.0
          1 2018   NULL                                               NULL                                               AgeSex                                             69                                                 2                                                                    3513.0
          1 2018   NULL                                               NULL                                               AgeSex                                             7                                                  1                                                                      30.0
          1 2018   NULL                                               NULL                                               AgeSex                                             7                                                  2                                                                      22.0
          1 2018   NULL                                               NULL                                               AgeSex                                             70                                                 1                                                                    5861.0
          1 2018   NULL                                               NULL                                               AgeSex                                             70                                                 2                                                                    4224.0
          1 2018   NULL                                               NULL                                               AgeSex                                             71                                                 1                                                                    6606.0
          1 2018   NULL                                               NULL                                               AgeSex                                             71                                                 2                                                                    4654.0
          1 2018   NULL                                               NULL                                               AgeSex                                             72                                                 1                                                                    5747.0
          1 2018   NULL                                               NULL                                               AgeSex                                             72                                                 2                                                                    4319.0
          1 2018   NULL                                               NULL                                               AgeSex                                             73                                                 1                                                                    6361.0
          1 2018   NULL                                               NULL                                               AgeSex                                             73                                                 2                                                                    4557.0
          1 2018   NULL                                               NULL                                               AgeSex                                             74                                                 1                                                                    6721.0
          1 2018   NULL                                               NULL                                               AgeSex                                             74                                                 2                                                                    5130.0
          1 2018   NULL                                               NULL                                               AgeSex                                             75                                                 1                                                                    6893.0
          1 2018   NULL                                               NULL                                               AgeSex                                             75                                                 2                                                                    5314.0
          1 2018   NULL                                               NULL                                               AgeSex                                             76                                                 1                                                                    6682.0
          1 2018   NULL                                               NULL                                               AgeSex                                             76                                                 2                                                                    5255.0
          1 2018   NULL                                               NULL                                               AgeSex                                             77                                                 1                                                                    6871.0
          1 2018   NULL                                               NULL                                               AgeSex                                             77                                                 2                                                                    5540.0
          1 2018   NULL                                               NULL                                               AgeSex                                             78                                                 1                                                                    7514.0
          1 2018   NULL                                               NULL                                               AgeSex                                             78                                                 2                                                                    6204.0
          1 2018   NULL                                               NULL                                               AgeSex                                             79                                                 1                                                                    8081.0
          1 2018   NULL                                               NULL                                               AgeSex                                             79                                                 2                                                                    6882.0
          1 2018   NULL                                               NULL                                               AgeSex                                             8                                                  1                                                                      26.0
          1 2018   NULL                                               NULL                                               AgeSex                                             8                                                  2                                                                      23.0
          1 2018   NULL                                               NULL                                               AgeSex                                             80                                                 1                                                                    8577.0
          1 2018   NULL                                               NULL                                               AgeSex                                             80                                                 2                                                                    7332.0
          1 2018   NULL                                               NULL                                               AgeSex                                             81                                                 1                                                                    8920.0
          1 2018   NULL                                               NULL                                               AgeSex                                             81                                                 2                                                                    8003.0
          1 2018   NULL                                               NULL                                               AgeSex                                             82                                                 1                                                                    8905.0
          1 2018   NULL                                               NULL                                               AgeSex                                             82                                                 2                                                                    8292.0
          1 2018   NULL                                               NULL                                               AgeSex                                             83                                                 1                                                                    9181.0
          1 2018   NULL                                               NULL                                               AgeSex                                             83                                                 2                                                                    9113.0
